accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss,learning_rate
0.7635499835014343,0.769710123538971,0.4544779360294342,0.8705999851226807,0.8690017461776733,0.31027767062187195,0.0010000000474974513
0.9189000129699707,0.918778121471405,0.21184401214122772,0.878000020980835,0.8793511986732483,0.3085179626941681,0.0010000000474974513
0.9638500213623047,0.9637393355369568,0.10525473952293396,0.8744000196456909,0.8782945275306702,0.3799949884414673,0.0010000000474974513
0.9845499992370605,0.9844995737075806,0.04659813269972801,0.8600000143051147,0.8706098794937134,0.585812509059906,0.0010000000474974513
0.9897000193595886,0.989672064781189,0.03024204447865486,0.8578000068664551,0.8689400553703308,0.6515220403671265,0.0010000000474974513
0.994949996471405,0.9949349761009216,0.015694934874773026,0.871399998664856,0.8730502724647522,0.60561603307724,0.0005000000237487257
0.9965000152587891,0.996489405632019,0.009900015778839588,0.8736000061035156,0.8776615262031555,0.6402416825294495,0.0005000000237487257
0.9979000091552734,0.997894287109375,0.007374315522611141,0.8712000250816345,0.8754351735115051,0.6866719126701355,0.0005000000237487257
0.9985499978065491,0.9985467195510864,0.0046664029359817505,0.873199999332428,0.8760749697685242,0.6929442882537842,0.0002500000118743628
0.9989500045776367,0.9989473819732666,0.0028385703917592764,0.8730000257492065,0.8745306730270386,0.727300763130188,0.0002500000118743628
